"中国港澳阿峰,#genre#"
"凤凰中文频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8"
"凤凰中文频道,http://113.64.147.19:8081/hls/37/index.m3u8"
"凤凰资讯频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8"
"凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8"
"凤凰资讯频道,http://113.64.147.19:8081/hls/36/index.m3u8"
"無綫新聞频道,http://119.136.123.34:8001/bysid/83"
"香港卫视频道,http://119.136.123.34:8001/bysid/85"
"TVBPlus频道,http://119.136.123.34:8001/bysid/82"
"香港翡翠频道,http://119.136.123.34:8000/bysid/1"
"香港明珠频道,http://119.136.123.34:8001/bysid/2"
"ViuTVsix频道,http://119.136.123.34:8000/bysid/96"
"ViuTV香港频道,http://119.136.123.34:8000/bysid/99"
"香港卫视频道,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8"
"香港卫视频道,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv"
"香港凤凰频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8"
"香港凤凰频道,https://epg.pw/stream/b3ab43b2415df405226d5b25f38e51432ca7d32b5a240e0aa1f3e201d181442f.m3u8"
"香港凤凰频道,http://116.162.6.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8"
"香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8"
"香港凤凰频道,http://113.64.147.85:8081/hls/38/index.m3u8"
"香港凤凰频道,http://113.64.147.19:8081/hls/38/index.m3u8"
"TVBPLUS频道,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6"
"TVB香港武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8"
"香港星空卫视,http://171.221.34.45:4022/udp/239.93.0.156:2193"
"无线娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8"
"TVB香港直播台,https://edge6a.v2h-cdn.com/liveshow/liveshow.stream/chunklist.m3u8"
"无线星河频道,http://113.64.145.55:8081/hls/135/index.m3u8"
"无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8"
"香港33台高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8"
"香港34台高清,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8"
"香港35台高清,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8"
"耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8"
"耀才财经频道,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8"
"香港面包频道,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8?$官源"
"4k??修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8"
"4K绚影频道台,http://118.114.96.20:8889/rtp/239.93.42.33:5140?Cf=cfss.cc"
"-8K北京纪实台,http://49.7.69.235/downflv.brtvcloud.com/8klive/8kliveok.m3u8"
"-8K北京纪实台,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8"
"-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k"
"-8KCCTV超清台,https://tv.cry33.com/ys4k.php?id=8k25#https://tv.cry33.com/ys4k.php?id=8k"
"央视频道阿峰,#genre#"
